Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 68/7812: Reward=-149.088, SPS=137, OffWin=0.33, DefWin=0.00
Update 69/7812: Reward=-181.685, SPS=138, OffWin=0.38, DefWin=0.00
Update 70/7812: Reward=-137.381, SPS=138, OffWin=0.33, DefWin=0.00
Update 71/7812: Reward=-125.663, SPS=139, OffWin=0.00, DefWin=0.00
Update 72/7812: Reward=-108.235, SPS=139, OffWin=0.57, DefWin=0.00
Update 73/7812: Reward=-200.758, SPS=139, OffWin=0.20, DefWin=0.00
Update 74/7812: Reward=-84.786, SPS=140, OffWin=0.50, DefWin=0.00
Update 75/7812: Reward=-176.827, SPS=140, OffWin=0.30, DefWin=0.00
Update 76/7812: Reward=-204.044, SPS=141, OffWin=0.29, DefWin=0.00
Update 77/7812: Reward=-190.139, SPS=141, OffWin=0.20, DefWin=0.00
Update 78/7812: Reward=-107.494, SPS=141, OffWin=0.40, DefWin=0.00
Update 79/7812: Reward=-161.643, SPS=141, OffWin=0.40, DefWin=0.00
Update 80/7812: Reward=-172.914, SPS=142, OffWin=0.40, DefWin=0.00
Update 81/7812: Reward=-192.417, SPS=142, OffWin=0.17, DefWin=0.00
Update 82/7812: Reward=-241.390, SPS=142, OffWin=0.17, DefWin=0.00
Update 83/7812: Reward=-152.189, SPS=143, OffWin=0.60, DefWin=0.00
Update 84/7812: Reward=-120.064, SPS=143, OffWin=0.50, DefWin=0.00
Update 85/7812: Reward=-164.448, SPS=143, OffWin=0.50, DefWin=0.00
Update 86/7812: Reward=-204.750, SPS=144, OffWin=0.50, DefWin=0.00
Update 87/7812: Reward=-160.246, SPS=144, OffWin=0.43, DefWin=0.00
Update 88/7812: Reward=-169.552, SPS=144, OffWin=0.40, DefWin=0.00
Update 89/7812: Reward=-239.304, SPS=145, OffWin=0.12, DefWin=0.00
Update 90/7812: Reward=-200.568, SPS=145, OffWin=0.40, DefWin=0.00
Update 91/7812: Reward=-193.663, SPS=145, OffWin=0.25, DefWin=0.00
Update 92/7812: Reward=-148.911, SPS=145, OffWin=0.40, DefWin=0.00
Update 93/7812: Reward=-136.003, SPS=146, OffWin=0.33, DefWin=0.00
Update 94/7812: Reward=-123.542, SPS=146, OffWin=0.50, DefWin=0.00
